Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2010,"Josh Muecke","COL","AAA",28,119.2,0.34683544,1.43307087,0.22166247,0.45843829,0.31989924,0.18110236,0.1023622,0.5122549,0.22794118,0.25980392,0.07215992,788,1263,2051,"sa226123"
2012,"Bear Bay","SDP","AAA",28,116.2,0.32901554,1.51219512,0.20769231,0.47692308,0.31538462,0.12195122,0.09756098,0.4559194,0.27455919,0.26952141,0.08629738,621,1094,1715,"sa226381"
2011,"Bear Bay","LAA","AAA",27,159.2,0.34205607,1.49710983,0.20295203,0.47785978,0.31918819,0.1849711,0.13872832,0.50358423,0.22939068,0.26702509,0.07586764,932,1546,2478,"sa226381"
2010,"Richard De Los Santos","TBR","AAA",26,148.1,0.31223629,1.80769231,0.21336207,0.50646552,0.28017241,0.20769231,0.04615385,0.44467641,0.25887265,0.29645094,0.08410392,865,1406,2271,"sa244191"
2010,"Matt Yourkin","SFG","AAA",28,136,0.31884058,0.70680628,0.22009569,0.32296651,0.4569378,0.21989529,0.07329843,0.38694639,0.27972028,0.33333333,0.10666046,737,1410,2147,"sa245874"
2011,"Matt Yourkin","SFG","AAA",29,167,0.32277228,0.68776371,0.2202729,0.31773879,0.4619883,0.24472574,0.10126582,0.44990548,0.27977316,0.27032136,0.09651669,1025,1731,2756,"sa245874"
2010,"Matt Zaleski","CHW","AAA",28,139.1,0.26682135,1.04733728,0.21363636,0.40227273,0.38409091,0.24260355,0.13609467,0.46238938,0.26769912,0.2699115,0.07372654,877,1361,2238,"sa253571"
2012,"Matt Zaleski","CHW","AAA",30,129,0.30050505,1.18791946,0.18703242,0.44139651,0.37157107,0.16107383,0.08053691,0.49512195,0.24390244,0.26097561,0.07260407,799,1267,2066,"sa253571"
2010,"Andrew Baldwin","SEA","AAA",27,117.2,0.31701031,1.07638889,0.21108179,0.40897098,0.37994723,0.24305556,0.09027778,0.425,0.2525,0.3225,0.09624413,597,1107,1704,"sa253988"
2011,"Andrew Baldwin","MIN","AAA",28,143.2,0.28733032,0.67400881,0.18103448,0.32974138,0.48922414,0.21145374,0.14537445,0.46835443,0.26793249,0.26371308,0.09175162,747,1411,2158,"sa253988"
2014,"Derek Hankins","DET","AAA",30,152,0.32037037,0.98122066,0.2285192,0.3820841,0.38939671,0.17370892,0.07511737,0.48201439,0.25539568,0.26258993,0.07711757,858,1515,2373,"sa254024"
2010,"J.R. Mathes","CHC","AAA",28,129,0.30905077,1.65248227,0.18161926,0.50984683,0.30853392,0.17021277,0.12765957,0.45842217,0.26652452,0.2750533,0.05778003,684,1289,1973,"sa254188"
2011,"Andrew Kown","SFG","AAA",28,136.2,0.2995283,0.92485549,0.20334928,0.38277512,0.4138756,0.17919075,0.0867052,0.41609195,0.25517241,0.32873563,0.07692308,887,1427,2314,"sa254314"
2012,"Andrew Kown","SFG","AAA",29,119,0.30693069,1.11409396,0.22604423,0.40786241,0.36609337,0.16107383,0.09395973,0.43645084,0.24460432,0.31894484,0.062468,770,1183,1953,"sa254314"
2010,"Gaby Hernandez","KCR","AAA",24,144.2,0.26277372,0.69268293,0.20412844,0.32568807,0.47018349,0.23902439,0.15121951,0.44444444,0.22675737,0.32879819,0.08846154,869,1471,2340,"sa254327"
2010,"Chuck Lofgren","MIL","AAA",24,131.2,0.29382716,0.89285714,0.22815534,0.36407767,0.40776699,0.22619048,0.14285714,0.43457944,0.31308411,0.25233645,0.08235294,914,1296,2210,"sa262158"
2011,"Will Inman","SDP","AAA",24,117,0.35549133,0.95541401,0.12784091,0.42613636,0.44602273,0.18471338,0.10191083,0.42936288,0.23545706,0.33518006,0.08128193,797,1356,2153,"sa290185"
2012,"Matt Torra","TBR","AAA",28,147,0.2611465,0.78111588,0.18145957,0.35897436,0.45956607,0.22746781,0.10729614,0.48832685,0.23151751,0.28015564,0.07773852,764,1500,2264,"sa291167"
2010,"Matt Torra","ARI","AAA",26,178,0.33060556,1.14035088,0.20521173,0.42345277,0.3713355,0.21052632,0.09649123,0.4549763,0.2385466,0.30647709,0.08047292,857,1765,2622,"sa291167"
2010,"Polin Trinidad","HOU","AAA",25,118.1,0.3195122,0.72916667,0.17206983,0.34912718,0.47880299,0.23958333,0.06770833,0.43364929,0.2464455,0.31990521,0.07171315,715,1293,2008,"sa294382"
2013,"Omar Poveda","ATL","AAA",25,164,0.29218107,1.46153846,0.2033195,0.47302905,0.32365145,0.24358974,0.07692308,0.51703407,0.22244489,0.26052104,0.11603701,958,1636,2594,"sa294843"
2011,"Amaury Rivas","MIL","AAA",25,150.2,0.29148936,1.09770115,0.22008547,0.40811966,0.37179487,0.24137931,0.08045977,0.44834711,0.26239669,0.2892562,0.08697303,1107,1526,2633,"sa295179"
2012,"Lance Pendleton","TBR","AAA",28,129,0.3125,0.63212435,0.22222222,0.30123457,0.47654321,0.27979275,0.07253886,0.42372881,0.24697337,0.32929782,0.09054054,794,1426,2220,"sa3000113"
2010,"L.J. Gagnier","DET","AAA",25,120.2,0.26740947,0.71186441,0.16528926,0.34710744,0.48760331,0.24858757,0.08474576,0.51871658,0.23262032,0.2486631,0.0938446,734,1248,1982,"sa327100"
2010,"Ben Jukich","CIN","AAA",27,115.1,0.3030303,1.64583333,0.21604938,0.48765432,0.2962963,0.29166667,0.08333333,0.47904192,0.26646707,0.25449102,0.09634209,719,1222,1941,"sa327750"
2012,"Will Savage","LAD","AAA",27,141.2,0.32653061,1.17368421,0.16565657,0.45050505,0.38383838,0.17894737,0.1,0.46351085,0.23076923,0.30571992,0.06817113,793,1334,2127,"sa327775"
2010,"Kevin Pucetas","SFG","AAA",25,136,0.35147392,1.18867925,0.21621622,0.42567568,0.35810811,0.22641509,0.10691824,0.43296703,0.24175824,0.32527473,0.07282794,913,1435,2348,"sa327994"
2012,"Charles Shirek","CHW","AAA",26,170.1,0.29001883,1.77018634,0.17560074,0.52680222,0.29759704,0.18012422,0.11180124,0.4379562,0.22262774,0.33941606,0.09529412,840,1710,2550,"sa388975"
2013,"Ryan Tatusko","WSN","AAA",28,120.2,0.30571429,1.47826087,0.18338109,0.48710602,0.32951289,0.22608696,0.06086957,0.44817927,0.22969188,0.32212885,0.09471154,855,1225,2080,"sa389188"
2011,"Dylan Owen","NYM","AAA",24,116.1,0.27002967,0.94117647,0.14409222,0.41498559,0.44092219,0.20261438,0.12418301,0.3988764,0.3005618,0.3005618,0.08607456,678,1146,1824,"sa389225"
2010,"Adam Mills","BOS","AAA",25,131.2,0.32644628,1.07103825,0.22336066,0.40163934,0.375,0.20765027,0.09289617,0.48103792,0.25349301,0.26546906,0.06158088,744,1432,2176,"sa389674"
2011,"Travis Banwart","OAK","AAA",25,149.2,0.27702703,0.7952381,0.1659292,0.36946903,0.46460177,0.22857143,0.1047619,0.40645161,0.27741935,0.31612903,0.09701187,941,1502,2443,"sa389775"
2012,"Travis Banwart","OAK","AAA",26,128.2,0.29620253,0.89090909,0.2160804,0.36934673,0.41457286,0.26666667,0.09090909,0.43658537,0.26585366,0.29756098,0.10361446,752,1323,2075,"sa389775"
2013,"Travis Banwart","OAK","AAA",27,131,0.32722513,0.66839378,0.18481013,0.32658228,0.48860759,0.24870466,0.10362694,0.4044665,0.29528536,0.30024814,0.11252115,937,1427,2364,"sa389775"
2013,"Mitch Lively","SFG","AAA",27,124,0.2630137,0.88387097,0.20867209,0.37127371,0.4200542,0.2516129,0.09677419,0.41578947,0.22894737,0.35526316,0.08089261,834,1317,2151,"sa390254"
2014,"Chris Hernandez","BOS","AAA",25,117,0.3027027,1.81308411,0.17307692,0.53296703,0.29395604,0.22429907,0.04672897,0.46933333,0.224,0.30666667,0.07324219,832,1216,2048,"sa390676"
2016,"Chris Jones","LAA","AAA",27,118.1,0.3680203,2.21978022,0.25445293,0.51399491,0.23155216,0.12087912,0.10989011,0.46782178,0.26732673,0.26485149,0.09528796,668,1242,1910,"sa392067"
2014,"Chris Jones","BAL","AAA",25,119.2,0.31168831,1.53508772,0.22727273,0.46791444,0.30481283,0.19298246,0.03508772,0.46786632,0.20822622,0.32390746,0.09032603,685,1186,1871,"sa392067"
2015,"Chris Jones","BAL","AAA",26,150,0.30686695,1.67883212,0.21581197,0.49145299,0.29273504,0.13868613,0.10948905,0.41336117,0.25469729,0.33194154,0.0978162,718,1480,2198,"sa392067"
2013,"Nick Additon","STL","AAA",25,131.2,0.27567568,0.7704918,0.14285714,0.37301587,0.48412698,0.25136612,0.08196721,0.45833333,0.2421875,0.29947917,0.12338594,784,1307,2091,"sa393067"
2015,"Carlos Pimentel","CHC","AAA",25,143.1,0.26781327,0.81666667,0.19852941,0.36029412,0.44117647,0.18888889,0.06666667,0.5,0.284689,0.215311,0.09663687,912,1437,2349,"sa393262"
2016,"Carlos Pimentel","SDP","AAA",26,145,0.34429825,0.81632653,0.22608696,0.34782609,0.42608696,0.18367347,0.08673469,0.44397463,0.28964059,0.26638478,0.09506762,974,1540,2514,"sa393262"
2015,"Luis Leroy Cruz","HOU","AAA",24,116,0.29618768,0.93571429,0.22571429,0.37428571,0.4,0.17857143,0.12857143,0.39166667,0.28055556,0.32777778,0.08389913,817,1245,2062,"sa454687"
2017,"Shawn Haviland","BOS","AAA",31,126.2,0.26502732,0.83850932,0.22916667,0.3515625,0.41927083,0.29192547,0.13664596,0.47938144,0.24484536,0.2757732,0.07696055,766,1287,2053,"sa454866"
2012,"Tom Cochran","PHI","AAA",29,127.1,0.27478754,0.94520548,0.19774011,0.38983051,0.41242938,0.31506849,0.06849315,0.50824176,0.23076923,0.26098901,0.10114504,840,1256,2096,"sa499795"
2015,"Darin Gorski","NYM","AAA",27,137,0.32629108,0.81081081,0.23165138,0.3440367,0.42431193,0.3027027,0.1027027,0.4221219,0.28442438,0.29345372,0.08615004,941,1485,2426,"sa501520"
2013,"Andrew Carraway","SEA","AAA",26,118.2,0.31675393,0.89473684,0.17557252,0.38931298,0.4351145,0.20467836,0.10526316,0.5112782,0.19799499,0.29072682,0.08424726,754,1252,2006,"sa501632"
2014,"Andrew Carraway","SEA","AAA",27,125.1,0.33173077,1.05194805,0.25118483,0.38388626,0.36492891,0.16883117,0.08441558,0.45920746,0.21212121,0.32867133,0.07584541,711,1359,2070,"sa501632"
2012,"Jorge Reyes","SDP","AAA",24,152,0.35166994,1.18965517,0.25875486,0.40272374,0.3385214,0.18965517,0.0862069,0.40761905,0.27047619,0.32190476,0.07728238,819,1536,2355,"sa501947"
