last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Fleming, Josh,676596,2021,448,349,0.268,0.277,-0.009000000000000008,0.407,0.433,-0.026000000000000023,0.313,0.33,-0.017000000000000015,5.09,4.66,0.429
Eflin, Zach,621107,2021,442,324,0.276,0.257,0.019000000000000017,0.461,0.415,0.04600000000000004,0.325,0.303,0.02200000000000002,4.17,3.87,0.304
Odorizzi, Jake,543606,2021,441,313,0.243,0.254,-0.01100000000000001,0.429,0.448,-0.019000000000000017,0.316,0.33,-0.014000000000000012,4.21,4.66,-0.447
Hearn, Taylor,621368,2021,441,303,0.247,0.257,-0.010000000000000009,0.424,0.434,-0.010000000000000009,0.321,0.335,-0.014000000000000012,4.66,4.82,-0.162
Luzardo, Jesús,666200,2021,437,287,0.28,0.255,0.025000000000000022,0.524,0.459,0.065,0.375,0.348,0.027000000000000024,6.61,5.26,1.348
Bauer, Trevor,545333,2021,432,255,0.182,0.197,-0.015000000000000013,0.374,0.385,-0.01100000000000001,0.274,0.285,-0.010999999999999954,2.59,3.39,-0.799
Stripling, Ross,548389,2021,431,305,0.251,0.256,-0.0050000000000000044,0.489,0.466,0.022999999999999965,0.335,0.339,-0.0040000000000000036,4.80,4.95,-0.154
Akin, Keegan,669211,2021,427,303,0.29,0.264,0.025999999999999968,0.491,0.47,0.02100000000000002,0.361,0.349,0.01200000000000001,6.63,5.30,1.332
Javier, Cristian,664299,2021,424,234,0.186,0.221,-0.035,0.355,0.416,-0.061,0.291,0.327,-0.03600000000000003,3.55,4.57,-1.017
Urquidy, José,664353,2021,423,312,0.218,0.244,-0.025999999999999995,0.406,0.434,-0.02799999999999997,0.282,0.307,-0.025000000000000022,3.62,3.98,-0.363
López, Pablo,641154,2021,418,270,0.233,0.229,0.0040000000000000036,0.385,0.373,0.01200000000000001,0.293,0.29,0.0030000000000000027,3.07,3.52,-0.452
Suárez, Ranger,624133,2021,418,273,0.194,0.205,-0.010999999999999982,0.255,0.278,-0.02300000000000002,0.235,0.25,-0.015000000000000013,1.36,2.60,-1.242
Velasquez, Vince,592826,2021,417,262,0.251,0.244,0.007000000000000006,0.525,0.471,0.05400000000000005,0.368,0.349,0.019000000000000017,6.30,5.30,0.997
Suarez, José,660761,2021,413,288,0.23,0.257,-0.026999999999999996,0.382,0.392,-0.010000000000000009,0.299,0.318,-0.019000000000000017,3.75,4.30,-0.547
Germán, Domingo,593334,2021,410,283,0.234,0.239,-0.004999999999999977,0.426,0.421,0.0050000000000000044,0.306,0.311,-0.0050000000000000044,4.58,4.09,0.486
Anderson, Brett,474463,2021,409,321,0.276,0.299,-0.022999999999999965,0.439,0.472,-0.032999999999999974,0.328,0.362,-0.033999999999999975,4.22,5.77,-1.551
Bieber, Shane,669456,2021,405,234,0.229,0.224,0.0050000000000000044,0.373,0.385,-0.01200000000000001,0.294,0.298,-0.0040000000000000036,3.17,3.73,-0.564
Williams, Trevor,592866,2021,405,280,0.287,0.262,0.024999999999999967,0.462,0.418,0.04400000000000004,0.348,0.324,0.023999999999999966,4.35,4.48,-0.128
Peralta, Wily,503449,2021,402,301,0.247,0.258,-0.01100000000000001,0.415,0.422,-0.007000000000000006,0.319,0.335,-0.016000000000000014,3.08,4.82,-1.745
Weathers, Ryan,677960,2021,401,296,0.279,0.276,0.0030000000000000027,0.497,0.474,0.02300000000000002,0.356,0.348,0.008000000000000007,5.32,5.26,0.064
Bundy, Dylan,605164,2021,397,273,0.253,0.246,0.007000000000000006,0.491,0.454,0.03699999999999998,0.348,0.335,0.012999999999999956,6.05,4.82,1.235
Cobb, Alex,502171,2021,393,259,0.24,0.257,-0.017000000000000015,0.336,0.36,-0.023999999999999966,0.286,0.306,-0.020000000000000018,3.76,3.95,-0.189
Peacock, Matt,676840,2021,386,307,0.304,0.269,0.034999999999999976,0.494,0.414,0.08000000000000002,0.357,0.318,0.03899999999999998,4.90,4.30,0.6
Sheffield, Justus,656954,2021,385,274,0.316,0.302,0.014000000000000012,0.515,0.531,-0.016000000000000014,0.39,0.396,-0.006000000000000005,6.83,7.16,-0.326
Manning, Matt,666159,2021,385,291,0.279,0.286,-0.006999999999999951,0.445,0.463,-0.018000000000000016,0.34,0.353,-0.012999999999999956,5.80,5.44,0.361
Ober, Bailey,641927,2021,379,263,0.258,0.252,0.006000000000000005,0.489,0.46,0.02899999999999997,0.33,0.326,0.0040000000000000036,4.19,4.54,-0.349
Morgan, Eli,669212,2021,379,270,0.259,0.263,-0.0040000000000000036,0.5,0.507,-0.007000000000000006,0.343,0.349,-0.00599999999999995,5.34,5.30,0.04
Megill, Tylor,656731,2021,379,250,0.255,0.22,0.035,0.467,0.412,0.05500000000000005,0.332,0.302,0.030000000000000027,4.52,3.84,0.677
Cortes, Nestor,641482,2021,374,244,0.217,0.214,0.0030000000000000027,0.386,0.372,0.014000000000000012,0.285,0.282,0.0030000000000000027,2.90,3.32,-0.417
Ynoa, Huascar,660623,2021,372,243,0.224,0.249,-0.024999999999999994,0.418,0.429,-0.01100000000000001,0.299,0.317,-0.018000000000000016,4.05,4.27,-0.215
Martinez, Carlos,593372,2021,363,259,0.246,0.278,-0.03200000000000003,0.39,0.469,-0.07899999999999996,0.321,0.369,-0.04799999999999999,6.23,6.03,0.201
Sandoval, Patrick,663776,2021,363,229,0.215,0.219,-0.0040000000000000036,0.349,0.342,0.006999999999999951,0.288,0.291,-0.0030000000000000027,3.62,3.55,0.071
Jax, Griffin,643377,2021,360,261,0.256,0.251,0.0050000000000000044,0.537,0.524,0.013000000000000012,0.358,0.358,0,6.37,5.62,0.746
Hernández, Carlos,672578,2021,358,239,0.223,0.234,-0.01100000000000001,0.332,0.387,-0.05499999999999999,0.291,0.32,-0.029000000000000026,3.68,4.35,-0.673
Stammen, Craig,489334,2021,355,256,0.235,0.241,-0.006000000000000005,0.384,0.384,0,0.279,0.287,-0.007999999999999952,3.06,3.45,-0.393
Crismatt, Nabil,622503,2021,351,248,0.274,0.25,0.02400000000000002,0.42,0.394,0.025999999999999968,0.33,0.312,0.018000000000000016,3.76,4.12,-0.358
Kuhl, Chad,641771,2021,349,223,0.252,0.242,0.010000000000000009,0.445,0.406,0.03899999999999998,0.347,0.334,0.012999999999999956,4.82,4.79,0.027
Kluber, Corey,446372,2021,341,221,0.247,0.24,0.007000000000000006,0.375,0.372,0.0030000000000000027,0.31,0.309,0.0010000000000000009,3.83,4.03,-0.205
Glasnow, Tyler,607192,2021,340,190,0.176,0.188,-0.01200000000000001,0.319,0.331,-0.01200000000000001,0.246,0.257,-0.01100000000000001,2.66,2.74,-0.081
Boyd, Matthew,571510,2021,337,240,0.255,0.244,0.01100000000000001,0.397,0.409,-0.011999999999999955,0.311,0.314,-0.0030000000000000027,3.89,4.18,-0.29
Stratton, Chris,608717,2021,337,217,0.233,0.228,0.0050000000000000044,0.367,0.377,-0.010000000000000009,0.294,0.299,-0.0050000000000000044,3.63,3.76,-0.13
Hoffman, Jeff,656546,2021,335,206,0.248,0.236,0.01200000000000001,0.436,0.394,0.04199999999999998,0.345,0.328,0.01699999999999996,4.56,4.60,-0.038
Moore, Matt,519043,2021,334,231,0.274,0.252,0.02200000000000002,0.509,0.441,0.068,0.368,0.337,0.030999999999999972,6.29,4.89,1.398
Shaw, Bryan,543766,2021,334,224,0.235,0.25,-0.015000000000000013,0.388,0.398,-0.010000000000000009,0.313,0.325,-0.01200000000000001,3.49,4.51,-1.019
Patiño, Luis,672715,2021,333,227,0.232,0.244,-0.011999999999999983,0.393,0.426,-0.032999999999999974,0.3,0.319,-0.019000000000000017,4.31,4.32,-0.014
Price, David,456034,2021,326,237,0.272,0.257,0.015000000000000013,0.428,0.384,0.043999999999999984,0.33,0.312,0.018000000000000016,4.03,4.12,-0.088
Rogers, Tyler,643511,2021,326,253,0.243,0.234,0.00899999999999998,0.328,0.303,0.025000000000000022,0.269,0.262,0.007000000000000006,2.22,2.85,-0.628
deGrom, Jacob,594798,2021,324,166,0.129,0.145,-0.015999999999999986,0.242,0.248,-0.006000000000000005,0.174,0.19,-0.016000000000000014,1.08,1.53,-0.454
Flaherty, Jack,656427,2021,322,205,0.199,0.245,-0.045999999999999985,0.364,0.457,-0.09300000000000003,0.28,0.337,-0.056999999999999995,3.22,4.89,-1.673
