Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2012,"Brad Hand","MIA","AAA",22,148.1,8.5550555930796,4.550561485680639,1.88,0.9101122971361278,0.22523962,0.11980831,0.10543131,0.23411978,1.3752808045612597,0.28860759,0.72131148,4.004494107398962,4.598134294208175,-0.5936401868092132,4.494589394807473,"9111"
2017,"TJ House","TOR","AAA",27,133.1,7.289999443817181,4.252499675560022,1.71428571,0.74249994335175,0.1785124,0.10413223,0.07438017,0.27902622,1.5899998786926361,0.33253012,0.71847507,4.319999670410182,4.38753692245484,-0.06753725204465866,4.400463498798256,"9121"
2013,"TJ House","CLE","AAA",23,141.2,6.988235795915369,3.4305884816311814,2.03703704,0.698823579591537,0.17488076,0.08585056,0.0890302,0.2854641,1.5317648158723587,0.33777778,0.70525292,4.320000310202228,3.8896042412266225,0.43039606897560523,3.8187121973350067,"9121"
2012,"Charlie Leesman","CHW","AAA",25,135,6.866666666666666,3.466666666666667,1.98076923,0.5333333333333333,0.18070175,0.09122807,0.08947368,0.25146199,1.3407407407407408,0.30099502,0.75514874,2.466666666666667,3.6724877781338163,-1.2058211114671495,3.8356804638549136,"9124"
2014,"Sean O'Sullivan","PHI","AAA",26,148.2,5.69058334901978,3.026906036712649,1.88,1.0291480524823007,0.14849921,0.07898894,0.06951027,0.26551724,1.3721974033097342,0.29211087,0.68231441,4.298206572131962,4.64915946679769,-0.35095289466572854,4.424071762686461,"9137"
2015,"Tim Melville","DET","AAA",25,151.2,6.052747658714725,4.035165105809816,1.5,0.8307692864902563,0.15572519,0.10381679,0.0519084,0.24310345,1.3780220704481234,0.2737069,0.64663951,4.628571739017142,4.495488348281299,0.13308339073584285,4.412702763592298,"9149"
2012,"Ryan Verdugo","KCR","AAA",25,136.2,7.770732285716901,4.412195450364681,1.76119403,1.2512196053272977,0.20309811,0.11531842,0.08777969,0.22352941,1.324390342480941,0.25469169,0.78914141,3.753658815981893,5.306821791599517,-1.553162975617624,5.144737393146366,"9154"
2012,"Charles Brewer","ARI","AAA",24,133.2,7.002494298501663,2.2892769822024666,3.05882353,1.7506235746254157,0.17190083,0.05619835,0.11570248,0.31161972,1.5785537360938577,0.34474886,0.58558559,5.992519159294693,5.47078993527554,0.5217292240191531,4.41066228015641,"9155"
2013,"Charles Brewer","ARI","AAA",25,139.2,6.894988569017547,2.7708832567079864,2.48837209,0.8377088915628795,0.17656766,0.0709571,0.10561056,0.28519856,1.4391409162746907,0.33410138,0.66214807,4.8973750583676035,4.364513312392093,0.5328617459755103,4.245043978599123,"9155"
2014,"Charles Brewer","ARI","AAA",26,126.1,6.839050407270785,2.4221636859084033,2.82352941,0.7124010840907068,0.17614679,0.06238532,0.11376147,0.28853755,1.4248021681814136,0.34,0.64912281,4.986807588634948,4.135735303596204,0.851072285038744,4.415916275416251,"9155"
2010,"Alan Johnson","COL","AAA",26,141.2,6.352941632650335,2.7317649020396444,2.3255814,0.889411828571047,0.15673981,0.06739812,0.08934169,0.32088285,1.637647176416531,0.36842105,0.6043956,5.908235718364812,4.4931957607018544,1.415039957662958,4.627235228257939,"917"
2011,"Alan Johnson","COL","AAA",27,132,5.795454545454546,4.090909090909091,1.41666667,0.8863636363636364,0.13470681,0.09508716,0.03961965,0.35325132,1.9772727272727273,0.39915074,0.59232026,7.431818181818182,5.18483910705104,2.2469790747671414,5.485785440242652,"917"
