연도,구단,KBO_팀순위,이름,수비율,연봉,재계약,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR
2020,키움,5,에디슨 러셀,0.9535,106000,0,26,2B,65,271,244,22,62,14,0,2,82,31,2,0,22,2,1,37,6,0,3,0.254,0.317,0.336,0.653,0.305,75,0.42
2020,SK,9,타일러 화이트,1,26000,0,30,DH,9,30,22,3,3,1,0,1,7,4,0,0,6,2,0,1,0,0,0,0.136,0.367,0.318,0.685,0.337,92.6,-0.06
2020,LG,4,로베르토 라모스,0.993,30000,1,26,1B,117,494,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,0.278,0.362,0.592,0.954,0.407,153.6,4.35
2020,NC,4,애런 알테어,0.994,80000,1,29,CF,136,546,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,0.278,0.352,0.541,0.893,0.387,124.7,4.43
2020,삼성,8,타일러 살라디노,0.987,70000,0,31,LF,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,0.28,0.411,0.477,0.888,0.405,137.2,1.37
2020,삼성,8,다니엘 팔카,0.991333333,30000,0,29,DH,51,217,196,17,41,7,0,8,72,23,2,0,18,0,0,58,5,0,3,0.209,0.272,0.367,0.639,0.288,60.3,-0.66
2020,한화,10,브랜든 반즈,0.995666667,40000,0,34,1B,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,0.265,0.342,0.428,0.769,0.349,104.5,1.23
2020,롯데,7,딕슨 마차도,0.984,30000,1,28,SS,144,560,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,0.28,0.356,0.422,0.778,0.351,102.5,3.25
2021,KT,1,조일로 알몬테,0.964,52500,0,32,LF,60,249,224,18,61,9,0,7,91,36,1,0,22,1,0,49,9,0,2,0.272,0.337,0.406,0.744,0.347,102.5,0.57
2021,LG,4,저스틴 보어,0.985,30000,0,33,1B,32,117,100,7,17,2,0,3,28,17,0,0,11,3,0,30,2,0,3,0.17,0.265,0.28,0.545,0.263,52.8,-0.43
2021,키움,5,데이비드 프레이타스,0.989,55000,0,32,DH,43,148,139,13,36,10,0,2,52,14,0,0,7,1,0,29,7,0,1,0.259,0.297,0.374,0.671,0.313,81.8,-0.04
2021,키움,5,윌 크레익,0.9485,74200,0,27,1B,61,247,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1,0.248,0.32,0.383,0.703,0.328,93.9,0.3
2021,삼성,3,호세 피렐라,1,50000,1,32,DH,140,621,553,102,158,25,2,29,274,97,9,6,57,8,2,89,8,0,3,0.286,0.359,0.495,0.855,0.389,128.7,3.26
2021,한화,10,라이온 힐리,0.991,50000,0,29,1B,67,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1,0.257,0.306,0.394,0.7,0.325,91,0.35
2021,한화,10,에르난 페레즈,0.941333333,30000,0,30,1B,59,252,225,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,6,0.267,0.321,0.409,0.73,0.337,98.6,0.69
2022,KT,3,헨리 라모스,,,0,30,RF,18,80,72,10,18,1,1,3,30,11,2,0,4,2,0,18,2,1,1,0.25,0.304,0.417,0.721,0.323,96.5,0.21
2022,KT,3,앤서니 알포드,,,1,28,LF,80,323,283,48,81,19,1,14,144,50,5,1,33,3,3,90,3,0,4,0.286,0.362,0.509,0.871,0.387,139.7,2.47
2022,LG,2,로벨 가르시아,,,0,29,2B,38,152,132,20,27,6,1,4,47,18,4,1,18,1,0,39,4,0,0,0.206,0.308,0.353,0.661,0.31,93.1,0.57
2022,키움,4,야시엘 푸이그,,,0,32,RF,118,511,442,61,122,28,0,20,209,68,6,3,54,11,1,94,6,0,4,0.277,0.368,0.474,0.841,0.382,143.4,3.53
2022,SSG,1,케빈 크론,,,0,29,1B,64,249,233,20,52,12,1,11,98,34,0,0,9,3,0,65,3,0,4,0.222,0.255,0.42,0.675,0.3,78.7,-0.19
2022,SSG,1,후안 라가레스,,,0,33,LF,47,194,173,23,55,9,0,6,81,31,3,1,13,1,1,17,4,4,3,0.317,0.364,0.467,0.83,0.368,126.9,1.15
2022,NC,6,닉 마티니,,,0,32,LF,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,0.3,0.368,0.465,0.833,0.376,134.9,3.96
2022,롯데,8,DJ 피터스,0.986,60000,0,26,CF,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.319,93.7,1.18
2022,롯데,8,잭 렉스,,,1,29,CF,56,251,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,0.33,0.41,0.495,0.906,0.411,156.3,2.3
2022,KIA,5,소크라테스 브리토,,,1,30,CF,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.38,137,4.97
2022,한화,10,마이크 터크먼,,,0,32,CF,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.795,0.365,126.8,4.98
