last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Arozarena, Randy,668227,2021,26,604,28.1,9.3,.220,.368,.350,.303,.313,.147,89.8,7.7,29.4,30,8.2,42,101.231054302,6.912022073,2479,364,
Barrera, Tres,668663,2021,26,107,20.6,11.2,.243,.340,.333,.311,.356,.096,82,11.2,34.8,4,5.8,24.6,94.046015143,3.32544087,417,69,
Rogers, Jake,668670,2021,26,127,36.2,8.7,.211,.407,.339,.298,.281,.197,90.7,26.9,42.9,8,11.4,38.6,100.436502727,6.499374091,561,70,
Baddoo, Akil,668731,2021,22,461,26.5,9.8,.227,.403,.329,.309,.303,.176,86,13.8,37.4,26,8.8,32.3,97.336299252,4.67365534,1880,294,
Knizner, Andrew,668800,2021,26,185,21.1,10.8,.203,.298,.238,.274,.306,.095,87.5,7.8,28.7,5,4.1,36.9,98.657927541,5.433955492,677,122,
Reynolds, Bryan,668804,2021,26,646,18.4,11.6,.294,.523,.385,.386,.384,.229,89.4,13.4,39.9,46,10.4,40.8,100.899979412,6.776504943,2493,444,
Rojas, Josh,668942,2021,27,550,24.9,10.5,.232,.352,.327,.295,.313,.120,88.2,8.4,40.7,17,4.8,31.1,97.144273046,4.673279109,2316,351,
Marsh, Brandon,669016,2021,23,260,35.0,7.7,.265,.414,.296,.324,.326,.149,92,7.7,44.2,16,10.9,51.7,101.945319861,7.900136111,1073,147,
Murphy, Sean,669221,2021,26,448,25.4,8.9,.240,.441,.309,.337,.329,.201,89.2,15.4,31.9,32,11.3,42.6,100.661814539,6.600015196,1694,282,
Senzel, Nick,669222,2021,26,124,12.9,9.7,.310,.438,.286,.357,.374,.128,88.9,10.5,33.3,4,4.2,39.6,98.509095833,5.337294583,417,96,
Edman, Tommy,669242,2021,26,691,13.7,5.5,.274,.401,.301,.316,.320,.127,87.5,9.5,31.5,23,4.2,35.1,98.07999625,5.108010092,2612,552,
Solak, Nick,669256,2021,26,511,20.9,6.7,.238,.361,.299,.299,.310,.124,86.9,7,29.3,23,6.5,33.5,98.209109143,5.137323639,2054,355,
Smith, Will,669257,2021,26,501,20.2,11.6,.250,.472,.364,.364,.365,.221,90.1,19.4,38,35,10.8,43.8,99.821996975,6.229229784,2080,324,
Espinal, Santiago,669289,2021,26,246,12.2,8.9,.267,.346,.344,.307,.336,.079,84.8,13.1,35.8,3,1.6,22.8,95.154150313,3.602046649,912,193,
Hiura, Keston,669374,2021,24,197,39.1,7.1,.181,.360,.250,.281,.273,.179,90.7,16.3,34.3,15,15.2,41.4,100.735791224,6.805790619,797,99,
Hays, Austin,669720,2021,25,529,20.2,5.3,.245,.432,.328,.316,.298,.187,88.8,12.5,32.2,35,9.1,39.2,99.72384466,5.967000942,1957,385,
Lopez, Nicky,670032,2021,26,565,13.1,8.7,.239,.305,.329,.283,.313,.065,86.8,2.8,27.6,3,0.7,26.9,95.857798365,3.988841157,2126,438,
Short, Zack,670097,2021,26,184,32.1,12.0,.153,.272,.230,.242,.256,.119,87.5,24.3,33,5,4.9,33,97.880569423,5.049003301,801,103,
Rojas, Jose,670351,2021,28,184,27.2,8.2,.215,.389,.292,.293,.283,.175,90.7,19,32.2,10,8.5,44.1,100.319268448,6.687317414,732,118,
Young, Andrew,670370,2021,27,104,43.3,5.8,.197,.431,.332,.312,.288,.234,88.8,13.3,44.7,8,17,46.8,102.338786667,7.539530638,417,47,
Alvarez, Yordan,670541,2021,24,598,24.2,8.4,.279,.570,.369,.389,.351,.290,93.2,14.1,37.2,63,15.9,54.2,104.437748426,9.123948655,2397,395,
Brosseau, Mike,670712,2021,27,169,31.4,8.9,.201,.331,.268,.275,.282,.129,90,18.3,30.3,7,7.1,39.8,98.602913673,5.617379694,734,99,
Walls, Taylor,670764,2021,24,176,27.8,13.1,.209,.306,.279,.283,.314,.098,88.4,12,38.5,3,2.9,33,97.5708512,5.0670254,745,104,
Garcia, Luis,671277,2021,21,247,17.4,4.5,.241,.366,.291,.279,.275,.125,86.8,4.1,32.1,10,5.2,30.6,97.408231667,4.70434151,846,193,
Kelenic, Jarred,672284,2021,21,377,28.1,9.5,.219,.408,.270,.310,.301,.189,87.5,14.4,33.2,23,9.9,39.2,99.215218783,5.764851609,1477,232,
Kirk, Alejandro,672386,2021,22,189,11.6,10.1,.284,.507,.330,.373,.364,.223,92.3,14.7,31,16,11,46.9,101.67216274,7.430795655,748,145,
Robert Jr., Luis,673357,2021,23,296,20.6,4.7,.302,.546,.399,.382,.349,.244,91.2,13.8,39.4,27,12.5,45.1,102.65444566,7.681735166,963,216,
Akiyama, Shogo,673451,2021,33,183,21.9,7.7,.236,.308,.243,.280,.311,.072,86.5,1.9,29.8,1,0.8,31.5,97.177929016,4.69590959,757,124,
Kim, Ha-Seong,673490,2021,25,298,23.8,7.4,.209,.309,.270,.265,.279,.100,86.7,13.6,31.3,9,4.5,31.8,97.736604444,4.873757778,1183,201,
Clement, Ernie,676391,2021,25,133,14.3,5.3,.251,.351,.275,.289,.303,.100,86.7,15,33.3,4,3.8,24.8,95.9634912,3.9964383,442,105,
Meyers, Jake,676694,2021,25,163,30.7,6.1,.247,.426,.328,.321,.312,.179,89.5,9.9,40.4,10,10.1,36.4,99.153188571,5.757886495,655,99,
McCormick, Chas,676801,2021,26,320,32.5,7.8,.224,.424,.327,.311,.294,.200,90.3,18.6,35.8,19,10.2,49.2,99.992361064,6.645085401,1283,187,
Franco, Wander,677551,2021,20,308,12.0,7.8,.276,.407,.348,.329,.337,.132,88.2,9.7,33.9,12,4.9,37.6,98.98682,5.588455673,1101,245,
Duran, Jarren,680776,2021,24,112,35.7,3.6,.223,.306,.247,.245,.250,.083,89.6,7.8,38.2,3,4.4,39.7,99.041172059,5.891327463,429,68,
Jeffers, Ryan,680777,2021,24,293,36.9,7.5,.207,.415,.289,.299,.277,.209,89.2,14,35.8,23,14.5,44,101.12803275,6.822462956,1198,159,
Miller, Owen,680911,2021,24,202,26.7,4.5,.226,.346,.241,.267,.264,.120,86.4,5.9,36.2,8,5.8,32.6,97.647021739,4.885461087,750,138,
Vaughn, Andrew,683734,2021,23,469,21.5,8.7,.240,.432,.306,.330,.318,.192,91.1,9.7,33,35,10.9,47.5,101.76314443,7.262523956,1809,321,
