iter	Passed	Remaining
759	1230	388
760	1232	387
761	1234	385
762	1235	383
763	1237	382
764	1239	380
765	1241	379
766	1243	377
767	1245	376
768	1247	374
769	1249	373
770	1250	371
771	1252	369
772	1254	368
773	1256	366
774	1257	365
775	1259	363
776	1261	362
777	1263	360
778	1264	358
779	1266	357
780	1268	355
781	1270	354
782	1271	352
783	1273	350
784	1275	349
785	1276	347
786	1278	345
787	1280	344
788	1282	342
789	1283	341
790	1285	339
791	1286	337
792	1288	336
793	1290	334
794	1291	333
795	1293	331
796	1294	329
797	1296	328
798	1298	326
799	1299	324
800	1301	323
801	1302	321
802	1304	319
803	1305	318
804	1307	316
805	1309	315
806	1311	313
807	1312	311
808	1314	310
809	1315	308
810	1317	307
811	1319	305
812	1321	303
813	1322	302
814	1324	300
815	1325	298
816	1327	297
817	1328	295
818	1330	294
819	1332	292
820	1333	290
821	1335	289
822	1337	287
823	1338	285
824	1340	284
825	1341	282
826	1343	281
827	1345	279
828	1347	277
829	1349	276
830	1350	274
831	1352	273
832	1354	271
833	1355	269
834	1357	268
835	1358	266
836	1360	264
837	1362	263
838	1363	261
839	1365	260
840	1367	258
841	1368	256
842	1370	255
843	1371	253
844	1373	251
845	1375	250
846	1376	248
847	1378	247
848	1379	245
849	1382	243
850	1383	242
851	1385	240
852	1386	238
853	1388	237
854	1389	235
855	1391	234
856	1393	232
857	1395	230
858	1396	229
859	1398	227
860	1400	226
861	1402	224
862	1403	222
863	1405	221
864	1407	219
865	1409	218
866	1411	216
867	1412	214
868	1414	213
869	1415	211
870	1416	209
871	1418	208
872	1420	206
873	1421	204
874	1423	203
875	1424	201
876	1426	200
877	1428	198
878	1430	196
879	1431	195
880	1432	193
881	1434	191
882	1435	190
883	1437	188
884	1439	186
885	1440	185
886	1441	183
887	1443	182
888	1444	180
889	1446	178
890	1448	177
891	1449	175
892	1451	173
893	1452	172
894	1453	170
895	1455	168
896	1457	167
897	1458	165
898	1459	164
899	1461	162
900	1463	160
901	1465	159
902	1466	157
903	1468	155
904	1469	154
905	1470	152
906	1472	150
907	1474	149
908	1476	147
909	1477	146
910	1478	144
911	1480	142
912	1481	141
913	1483	139
914	1484	137
915	1486	136
916	1487	134
917	1489	133
918	1490	131
919	1492	129
920	1493	128
921	1495	126
922	1496	124
923	1497	123
924	1499	121
925	1501	119
926	1503	118
927	1504	116
928	1506	115
929	1507	113
930	1509	111
931	1510	110
932	1512	108
933	1513	106
934	1515	105
935	1516	103
936	1518	102
937	1519	100
938	1521	98
939	1522	97
940	1523	95
941	1525	93
942	1526	92
943	1528	90
944	1530	89
945	1531	87
946	1533	85
947	1534	84
948	1535	82
949	1537	80
950	1539	79
951	1540	77
952	1542	76
953	1543	74
954	1545	72
955	1546	71
956	1548	69
957	1549	67
958	1551	66
959	1552	64
960	1554	63
961	1555	61
962	1556	59
963	1558	58
964	1559	56
965	1561	54
966	1562	53
967	1564	51
968	1565	50
969	1567	48
970	1568	46
971	1570	45
972	1571	43
973	1572	41
974	1574	40
975	1576	38
976	1577	37
977	1578	35
978	1580	33
979	1581	32
980	1583	30
981	1585	29
982	1586	27
983	1587	25
984	1589	24
985	1590	22
986	1592	20
987	1594	19
988	1595	17
989	1597	16
990	1598	14
991	1600	12
992	1601	11
993	1603	9
994	1604	8
995	1606	6
996	1607	4
997	1609	3
998	1610	1
999	1612	0
